iter	Logloss
0	0.6440226479
1	0.6071268295
2	0.5783891957
3	0.5583340848
4	0.5376112659
5	0.5223739002
6	0.4977874484
7	0.4783126457
8	0.4670066441
9	0.4592871345
10	0.4468765289
11	0.438049703
12	0.4299274725
13	0.4231775485
14	0.4161201411
15	0.409947834
16	0.4016489043
17	0.3936488498
18	0.3857512697
19	0.3797602197
20	0.372395036
21	0.3678766222
22	0.3628881338
23	0.3578966704
24	0.354489744
25	0.3499880267
26	0.3464481478
27	0.3416574709
28	0.3379751554
29	0.3337666775
30	0.3285654178
31	0.3259945656
32	0.3233046603
33	0.3195346098
34	0.3167491801
35	0.3125206894
36	0.3087591381
37	0.306477037
38	0.3037280916
39	0.3016277519
40	0.2991332676
41	0.2958428163
42	0.2924869987
43	0.2870247283
44	0.2842766557
45	0.2820018004
46	0.280630305
47	0.2783993731
48	0.2752474138
49	0.2734533885
50	0.2713683771
51	0.2695469256
52	0.2672265748
53	0.2650823857
54	0.2623983083
55	0.259978653
56	0.2579620751
57	0.2550644727
58	0.2534791308
59	0.2521952299
60	0.2508264573
61	0.2493595839
62	0.2474108475
63	0.2458708832
64	0.2442312505
65	0.2431192421
66	0.2414755228
67	0.2398182725
68	0.2380332177
69	0.2367370874
70	0.2355197037
71	0.2344299537
72	0.2331910364
73	0.2320954949
74	0.2301840356
75	0.2291869498
76	0.2267391887
77	0.2247588248
78	0.2234788715
79	0.2222995834
80	0.2207916347
81	0.2198740868
82	0.2184062468
83	0.2167842651
84	0.2154076562
85	0.2140390059
86	0.2126210757
87	0.2112777933
88	0.2099768185
89	0.2089706732
90	0.20731181
91	0.2052851274
92	0.2039096014
93	0.2024606869
94	0.201445396
95	0.2003359564
96	0.1996143247
97	0.1988405528
98	0.197940843
99	0.1967431867
100	0.1952245883
101	0.193427209
102	0.1925140043
103	0.191448035
104	0.190808599
105	0.1896997302
106	0.1882630663
107	0.1872088583
108	0.185471235
109	0.184675866
110	0.1838631785
111	0.1825897069
112	0.1821406871
113	0.1805939542
114	0.1799501659
115	0.1792428552
116	0.1785131018
117	0.177834054
118	0.1768315286
119	0.1756154753
120	0.1744166289
121	0.1736119513
122	0.1730741922
123	0.1721442186
124	0.1710568622
125	0.1700498154
126	0.1690249001
127	0.1676220565
128	0.1672324258
129	0.166438188
130	0.1658699205
131	0.1652820977
132	0.1642480323
133	0.1634865547
134	0.1629333677
135	0.1621543887
136	0.1614000029
137	0.1606606101
138	0.1597123542
139	0.1588845
140	0.1579949069
141	0.1570510577
142	0.1564349403
143	0.1556545584
144	0.155121496
145	0.154724516
146	0.154205283
147	0.1535317458
148	0.1527746719
149	0.1517763651
150	0.1511597252
151	0.150412626
152	0.1498281784
153	0.1491415027
154	0.1480689762
155	0.1475509348
156	0.1468867251
157	0.1462419665
158	0.1457345461
159	0.1452884115
160	0.1446215697
161	0.1442468164
162	0.1437872028
163	0.1431016439
164	0.1425812375
165	0.1418921968
166	0.1414642077
167	0.141004992
168	0.1403294108
169	0.13984213
170	0.1395027873
171	0.1389185807
172	0.1385881797
173	0.1378730327
174	0.137303887
175	0.136802764
176	0.1363381388
177	0.1358011605
178	0.1354210016
179	0.1347908645
180	0.1340407646
181	0.133205213
182	0.1327799225
183	0.1320281033
184	0.1316615027
185	0.1309902021
186	0.1305916734
187	0.1298775828
188	0.1290803949
189	0.1285921257
190	0.1281735442
191	0.1273928368
192	0.1270195681
193	0.1264357148
194	0.1258336669
195	0.1250902774
196	0.124655707
197	0.1242539292
198	0.1238771485
199	0.1233654302
200	0.1227490893
201	0.1224833554
202	0.1220060939
203	0.1214388948
204	0.1205979496
205	0.1202434931
206	0.1199998101
207	0.1195631254
208	0.119106779
209	0.11862088
210	0.1182556772
211	0.1180145033
212	0.1174353277
213	0.1171042698
214	0.1164692179
215	0.1161159121
216	0.115466102
217	0.1148702768
218	0.1144483873
219	0.1138518372
220	0.1135242225
221	0.1131807427
222	0.1128227554
223	0.1123765491
224	0.1120143167
225	0.1116160946
226	0.1114496252
227	0.111073318
228	0.1106276018
229	0.11039974
230	0.1102076943
231	0.1098238869
232	0.1094135253
233	0.1091275513
234	0.1088363628
235	0.1082146774
236	0.1076410336
237	0.1072905149
238	0.1067732383
239	0.1064921324
240	0.1059126729
241	0.1056322293
242	0.1054119343
243	0.1049444979
244	0.1045811639
245	0.1041969615
246	0.1038444463
247	0.1033977046
248	0.1031663182
249	0.1026490582
250	0.1020629736
251	0.1015509668
252	0.1012131532
253	0.1009638772
254	0.1006667688
255	0.1003598706
256	0.09996007721
257	0.09944676862
258	0.09896058953
259	0.09853967786
260	0.09834970714
261	0.09798301597
262	0.09770532685
263	0.09726893137
264	0.09699557871
265	0.09671574741
266	0.09624043251
267	0.09591925569
268	0.09562905252
269	0.09520465008
270	0.0949292821
271	0.09445616601
272	0.09419651817
273	0.09405069359
274	0.09391271511
275	0.09372956283
276	0.0933677616
277	0.09294994049
278	0.09263054643
279	0.09220693004
280	0.0919371512
281	0.09172609998
282	0.09144027858
283	0.09123619077
284	0.09087507893
285	0.09064767404
286	0.09031696954
287	0.09014810198
288	0.08975061838
289	0.08913627316
290	0.08893711531
291	0.08874942118
292	0.08832074722
293	0.08804502057
294	0.08772208666
295	0.08747609154
296	0.08714556902
297	0.08673346392
298	0.08653025352
299	0.08615996285
300	0.08596444224
301	0.08581605112
302	0.08539457993
303	0.08506092682
304	0.08468474496
305	0.08431375131
306	0.08401667307
307	0.08385621944
308	0.08366909541
309	0.08339980511
310	0.08318652639
311	0.08294414209
312	0.08279296772
313	0.0825899174
314	0.0823791516
315	0.08214109924
316	0.08185184521
317	0.08156540237
318	0.08144870752
319	0.08124925292
320	0.08100341788
321	0.08088012131
322	0.08073468182
323	0.0804786433
324	0.08026683019
325	0.0800928809
326	0.07991062491
327	0.07977173428
328	0.07954457027
329	0.07935062327
330	0.07913458017
331	0.0788960151
332	0.07876163462
333	0.07860597352
334	0.07831630722
335	0.07788722173
336	0.07767182876
337	0.07731847242
338	0.07709603865
339	0.07679040981
340	0.07660150981
341	0.07647012739
342	0.07621672865
343	0.07601287907
344	0.07562922072
345	0.07542679448
346	0.07522182963
347	0.07505290053
348	0.07475310474
349	0.07455119875
350	0.07426312417
351	0.0741078527
352	0.07377316776
353	0.07353010011
