iter	Passed	Remaining
0	240	239909
1	308	154095
2	354	117904
3	399	99593
4	444	88502
5	489	81164
6	534	75853
7	577	71648
8	623	68689
9	667	66085
10	712	64093
11	758	62483
12	809	61450
13	851	59948
14	894	58723
15	936	57572
16	981	56771
17	1024	55889
18	1071	55342
19	1116	54709
20	1179	54995
21	1238	55054
22	1297	55106
23	1366	55584
24	1436	56014
25	1497	56108
26	1550	55860
27	1605	55724
28	1659	55578
29	1711	55351
30	1771	55367
31	1834	55482
32	1885	55264
33	1943	55223
34	1999	55131
35	2047	54839
36	2097	54582
37	2147	54369
38	2198	54183
39	2246	53909
40	2296	53710
41	2361	53866
42	2425	53975
43	2475	53784
44	2517	53421
45	2562	53139
46	2608	52894
47	2653	52620
48	2698	52382
49	2742	52109
50	2784	51811
51	2825	51514
52	2869	51266
53	2913	51042
54	2957	50818
55	3003	50637
56	3045	50377
57	3089	50182
58	3131	49949
59	3172	49707
60	3216	49508
61	3262	49353
62	3307	49197
63	3349	48986
64	3389	48762
65	3435	48622
66	3478	48443
67	3523	48291
68	3566	48121
69	3607	47926
70	3652	47795
71	3695	47631
72	3743	47535
73	3787	47399
74	3834	47286
75	3875	47122
76	3920	47000
77	3966	46887
78	4008	46731
79	4049	46568
80	4093	46440
81	4135	46302
82	4177	46158
83	4219	46009
84	4265	45915
85	4312	45829
86	4357	45724
87	4401	45619
88	4448	45534
89	4493	45437
90	4536	45311
91	4579	45197
92	4624	45104
93	4666	44980
94	4712	44888
95	4754	44773
96	4796	44652
97	4842	44571
98	4885	44465
99	4929	44369
100	4973	44268
101	5021	44211
102	5066	44121
103	5113	44052
104	5155	43942
105	5198	43846
106	5243	43758
107	5285	43651
108	5327	43552
109	5371	43462
110	5415	43373
111	5459	43287
112	5501	43184
113	5545	43101
114	5587	43002
115	5629	42901
116	5668	42780
117	5711	42693
118	5757	42623
119	5800	42534
120	5845	42461
121	5887	42368
122	5931	42292
123	5972	42195
124	6014	42099
125	6053	41993
126	6097	41912
127	6142	41844
128	6183	41751
129	6225	41661
130	6268	41580
131	6309	41489
132	6355	41429
133	6406	41405
134	6463	41413
135	6514	41384
136	6574	41412
137	6627	41399
138	6670	41321
139	6717	41264
140	6768	41234
141	6841	41339
142	6883	41251
143	6926	41172
144	6968	41092
145	7015	41037
146	7054	40936
147	7098	40866
148	7141	40788
149	7186	40724
150	7226	40632
151	7273	40577
152	7316	40501
153	7360	40436
154	7407	40382
155	7450	40308
156	7496	40252
157	7536	40165
158	7578	40086
159	7624	40027
160	7667	39954
161	7709	39877
162	7751	39803
163	7795	39737
164	7838	39669
165	7883	39609
166	7928	39546
167	7974	39490
168	8016	39416
169	8057	39337
170	8097	39254
171	8139	39184
172	8181	39110
173	8224	39040
174	8267	38974
175	8308	38896
176	8348	38818
177	8394	38763
178	8436	38694
179	8479	38627
180	8522	38562
181	8564	38492
182	8605	38417
183	8649	38357
184	8692	38292
185	8736	38234
186	8781	38180
187	8826	38121
188	8873	38074
189	8916	38011
190	8957	37941
191	9003	37888
192	9042	37808
193	9082	37733
194	9124	37667
195	9167	37603
196	9211	37546
197	9253	37480
198	9295	37415
199	9336	37347
200	9380	37289
201	9420	37214
202	9464	37156
203	9509	37104
204	9550	37037
205	9592	36971
206	9632	36903
207	9678	36853
208	9721	36793
209	9767	36743
210	9809	36681
211	9855	36634
212	9900	36580
213	9942	36517
214	9984	36454
215	10027	36395
216	10073	36347
217	10114	36280
218	10157	36222
219	10200	36166
220	10246	36116
221	10289	36057
222	10331	35996
223	10376	35946
224	10420	35892
225	10463	35835
226	10503	35768
227	10544	35704
228	10587	35645
229	10628	35581
230	10671	35524
231	10714	35467
232	10758	35414
233	10802	35361
234	10844	35302
235	10889	35252
236	10930	35188
237	10974	35136
238	11018	35082
239	11057	35016
240	11102	34965
241	11145	34909
242	11187	34851
243	11229	34791
244	11291	34797
245	11355	34805
246	11400	34754
247	11442	34695
248	11484	34638
249	11527	34583
250	11571	34529
251	11616	34481
252	11657	34418
253	11698	34360
254	11745	34315
255	11789	34262
256	11831	34205
257	11874	34151
258	11915	34090
259	11957	34032
260	11997	33971
261	12039	33912
262	12081	33856
263	12124	33801
264	12166	33745
265	12208	33687
266	12251	33633
267	12294	33581
268	12335	33522
269	12378	33467
270	12421	33414
271	12464	33361
272	12506	33303
273	12547	33245
274	12588	33187
275	12628	33128
276	12675	33084
277	12719	33033
278	12762	32981
279	12805	32927
280	12850	32880
281	12891	32824
282	12934	32770
283	12974	32711
284	13017	32657
285	13061	32608
286	13104	32555
287	13145	32499
288	13190	32450
289	13235	32403
290	13277	32348
291	13319	32296
292	13364	32247
293	13406	32193
294	13449	32141
295	13489	32082
296	13531	32028
297	13574	31978
298	13617	31925
299	13659	31872
300	13703	31823
301	13745	31769
302	13786	31713
303	13831	31667
304	13875	31618
305	13919	31568
306	13964	31522
307	14004	31463
308	14046	31411
309	14087	31357
310	14130	31305
311	14172	31252
312	14215	31202
313	14258	31150
314	14299	31095
315	14340	31040
316	14384	30991
317	14425	30938
318	14469	30888
319	14509	30833
320	14553	30783
321	14594	30730
322	14636	30678
323	14680	30629
324	14725	30583
325	14767	30531
326	14808	30477
327	14851	30428
328	14893	30376
329	14933	30319
330	14978	30272
331	15020	30220
332	15062	30170
333	15107	30125
334	15151	30075
335	15192	30024
336	15235	29972
337	15277	29922
338	15322	29877
339	15363	29823
340	15406	29773
341	15448	29723
342	15494	29679
343	15533	29622
344	15579	29578
345	15625	29535
346	15666	29482
347	15713	29439
348	15753	29385
349	15825	29389
350	15878	29359
351	15920	29308
352	15964	29259
353	16006	29210
354	16050	29162
355	16093	29112
356	16136	29063
357	16176	29009
358	16221	28964
359	16263	28913
360	16305	28862
361	16347	28810
362	16391	28764
363	16474	28785
364	16517	28736
365	16558	28682
366	16600	28632
367	16643	28582
368	16683	28528
369	16724	28477
370	16768	28428
371	16812	28382
372	16855	28333
373	16900	28288
374	16940	28234
375	16983	28184
376	17024	28133
377	17066	28083
378	17111	28037
379	17150	27982
380	17192	27932
381	17231	27877
382	17278	27835
383	17320	27785
384	17367	27742
385	17410	27694
386	17452	27645
387	17494	27595
388	17540	27550
389	17579	27495
390	17622	27447
391	17666	27400
392	17711	27355
393	17753	27306
394	17797	27259
395	17840	27210
396	17882	27162
397	17925	27113
398	17970	27067
399	18011	27017
400	18056	26972
401	18097	26921
402	18139	26872
403	18183	26825
404	18226	26777
405	18268	26727
406	18308	26675
407	18350	26626
408	18393	26578
409	18435	26529
410	18474	26475
411	18517	26427
412	18559	26378
413	18604	26333
414	18643	26281
415	18686	26232
416	18726	26181
417	18770	26135
418	18810	26083
419	18852	26034
420	18895	25986
421	18937	25938
422	18977	25886
423	19018	25836
424	19063	25791
425	19107	25745
426	19149	25697
427	19196	25654
428	19239	25607
429	19285	25564
430	19327	25516
